"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"5692","Lao People's Democratic Republic",2020-05-04,104,19,0,0,0,9,0,10,0.3,0,0.1,0,0
"5699","Latvia",2020-05-04,104,896,17,16,0,348,0,532,47.5,0.9,28.2,46,13
"5831","Lebanon",2020-05-04,104,740,3,25,0,200,0,515,10.8,0,7.5,51,37
"5841","Liberia",2020-05-04,104,166,8,18,0,58,0,90,3.3,0.2,1.8,14,10
"5898","Libya",2020-05-04,104,63,0,3,0,23,1,37,0.9,0,0.5,0,0
"5946","Liechtenstein",2020-05-04,104,82,0,1,0,55,0,26,215.8,0,68.4,0,0
"6043","Lithuania",2020-05-04,104,1419,9,46,0,638,3,735,52.1,0.3,27,44,31
"6109","Luxembourg",2020-05-04,104,3828,4,96,0,3405,26,327,611.5,0.6,52.2,49,39
"6193","Macao",2020-05-04,104,45,0,0,0,39,0,6,6.9,0,0.9,0,0
"6253","Madagascar",2020-05-04,104,149,0,0,0,99,1,50,0.5,0,0.2,24,0
"6332","Mainland China",2020-05-04,104,82881,1,4633,0,77853,87,395,5.8,0,0,104,104
"6387","Malawi",2020-05-04,104,41,2,3,0,9,0,29,0.2,0,0.2,0,0
"6471","Malaysia",2020-05-04,104,6353,55,105,0,4484,71,1764,19.6,0.2,5.5,57,44
